word,part_of_speech,definition,source_image,confidence
abbreviate,v.,to shorten,IMG_2031.JPG,1.0
abdicate,v.,to give up power,IMG_2031.JPG,1.0
abhor,v.,despise,IMG_2031.JPG,1.0
abide,v.,"to follow, observe",IMG_2031.JPG,1.0
abnormal,adj.,"not normal, average",IMG_2031.JPG,1.0
abode,n.,residence,IMG_2031.JPG,1.0
abrasive,adj.,irritating,IMG_2031.JPG,1.0
abrupt,adj.,sudden,IMG_2031.JPG,1.0
absolution,n.,forgiveness,IMG_2031.JPG,1.0
absolve,v.,to free from guilt,IMG_2031.JPG,1.0
abstain,v.,to hold back,IMG_2031.JPG,1.0
abundant,adj.,plentiful,IMG_2031.JPG,1.0
accelerate,v.,advance,IMG_2031.JPG,1.0
acclaim,v.,to praise,IMG_2031.JPG,1.0
accolade,n.,strong praise,IMG_2031.JPG,1.0
accommodate,v.,to make room,IMG_2031.JPG,1.0
accountable,adj.,responsible for,IMG_2031.JPG,1.0
accumulate,v.,to collect,IMG_2031.JPG,1.0
accuse,v.,to blame,IMG_2031.JPG,1.0
acrid,adj.,bitter,IMG_2031.JPG,1.0
adamant,adj.,determined,IMG_2031.JPG,1.0
adaptable,adj.,able to change,IMG_2031.JPG,1.0
adept,adj.,skillful,IMG_2031.JPG,1.0
adhere,v.,"to attach, to stick",IMG_2031.JPG,1.0
adjacent,adj.,next to,IMG_2031.JPG,1.0
admonish,v.,to warn,IMG_2031.JPG,1.0
adorn,v.,to decorate,IMG_2031.JPG,1.0
adversary,n.,opponent,IMG_2031.JPG,1.0
adverse,adj.,opposing,IMG_2031.JPG,1.0
adversity,n.,"difficulty, misfortune",IMG_2031.JPG,1.0
advocate,v.,to support,IMG_2031.JPG,1.0
aesthetic,adj.,about beauty,IMG_2031.JPG,1.0
affluent,adj.,wealthy,IMG_2031.JPG,1.0
affront,n.,deliberate act,IMG_2031.JPG,1.0
aggravate,v.,to make worse,IMG_2031.JPG,1.0
aggressive,adj.,forceful,IMG_2031.JPG,1.0
agitate,v.,"to shake, disturb",IMG_2031.JPG,1.0
ailment,n.,mild illness,IMG_2031.JPG,1.0
ajar,adj.,slightly open,IMG_2031.JPG,1.0
alleviate,v.,to lessen,IMG_2031.JPG,1.0
allocate,v.,to give out,IMG_2031.JPG,1.0
allot,v.,"to allocate, to give out",IMG_2031.JPG,1.0
aloof,adj.,indifferent,IMG_2031.JPG,1.0
alter,v.,change,IMG_2031.JPG,1.0
altercation,n.,disagreement,IMG_2031.JPG,1.0
altruistic,adj.,unselfish,IMG_2031.JPG,1.0
amass,v.,"to gather, to accumulate",IMG_2031.JPG,1.0
ambiguous,adj.,unclear,IMG_2031.JPG,1.0
ambivalent,adj.,uncertain,IMG_2031.JPG,1.0
amiable,adj.,friendly,IMG_2031.JPG,1.0
amicable,adj.,"civil, cordial",IMG_2031.JPG,1.0
amiss,adj.,wrong,IMG_2031.JPG,1.0
ample,adj.,"plenty, enough",IMG_2031.JPG,1.0
amplify,v.,to increase,IMG_2031.JPG,1.0
analyze,v.,to examine,IMG_2031.JPG,1.0
anecdote,n.,story,IMG_2031.JPG,1.0
animate,v.,to make alive,IMG_2031.JPG,1.0
animosity,n.,hostility,IMG_2031.JPG,1.0
antagonist,n.,"opponent, enemy",IMG_2031.JPG,1.0
antagonize,v.,to provoke,IMG_2031.JPG,1.0
anticipate,v.,foresee,IMG_2031.JPG,1.0
antidote,n.,a cure for poison,IMG_2031.JPG,1.0
apathy,n.,indifference,IMG_2031.JPG,1.0
apex,n.,peak,IMG_2031.JPG,1.0
appalling,adj.,shocking,IMG_2031.JPG,1.0
appeal,n.,urgent request,IMG_2031.JPG,1.0
apprehensive,adj.,nervous,IMG_2031.JPG,1.0
arbitrary,adj.,based on a whim,IMG_2031.JPG,1.0
archaic,adj.,very old,IMG_2031.JPG,1.0
arduous,adj.,difficult,IMG_2031.JPG,1.0
arid,adj.,dry,IMG_2031.JPG,1.0
arrogant,adj.,"pompous, cocky",IMG_2031.JPG,1.0
asperity,n.,harshness of tone,IMG_2031.JPG,1.0
aspire,v.,to strive,IMG_2031.JPG,1.0
assent,v.,to agree,IMG_2031.JPG,1.0
assist,v.,to help,IMG_2031.JPG,1.0
astute,adj.,sharp,IMG_2031.JPG,1.0
atone,v.,to make amends,IMG_2031.JPG,1.0
atrocious,adj.,awful,IMG_2031.JPG,1.0
atypical,adj.,unusual,IMG_2031.JPG,1.0
audible,adj.,able to be heard,IMG_2031.JPG,1.0
augment,v.,to make greater,IMG_2032.JPG,1.0
authentic,adj.,real,IMG_2032.JPG,1.0
averse,adj.,opposed to,IMG_2032.JPG,1.0
avert,v.,to avoid,IMG_2032.JPG,1.0
avid,adj.,eager,IMG_2032.JPG,1.0
baffle,v.,to confuse,IMG_2032.JPG,1.0
banal,adj.,boring,IMG_2032.JPG,1.0
banter,n.,teasing,IMG_2032.JPG,1.0
barter,v.,to bargain or to negotiate,IMG_2032.JPG,1.0
belated,adj.,after the event,IMG_2032.JPG,1.0
belittle,v.,to put down,IMG_2032.JPG,1.0
belligerent,adj.,warlike,IMG_2032.JPG,1.0
benefit,v.,to gain an advantage,IMG_2032.JPG,1.0
benevolent,adj.,charitable,IMG_2032.JPG,1.0
benign,adj.,favorable,IMG_2032.JPG,1.0
berate,v.,to scold,IMG_2032.JPG,1.0
biased,adj.,partial,IMG_2032.JPG,1.0
bizarre,adj.,odd,IMG_2032.JPG,1.0
blatant,adj.,obvious,IMG_2032.JPG,1.0
bleak,adj.,barren,IMG_2032.JPG,1.0
blithe,adj.,happy,IMG_2032.JPG,1.0
boisterous,adj.,"noisy, rowdy",IMG_2032.JPG,1.0
bolster,v.,to support,IMG_2032.JPG,1.0
brash,adj.,bold,IMG_2032.JPG,1.0
brazen,adj.,bold,IMG_2032.JPG,1.0
brisk,adj.,"fast, active",IMG_2032.JPG,1.0
broach,v.,to bring up,IMG_2032.JPG,1.0
buttress,v.,to reinforce,IMG_2032.JPG,1.0
callous,adj.,careless,IMG_2032.JPG,1.0
candid,adj.,"frank, open",IMG_2032.JPG,1.0
cantankerous,adj.,grouchy,IMG_2032.JPG,1.0
captivate,v.,to enchant,IMG_2032.JPG,1.0
caustic,adj.,corrosive,IMG_2032.JPG,1.0
censure,v.,to criticize harshly,IMG_2032.JPG,1.0
ceremonious,adj.,formal,IMG_2032.JPG,1.0
champion,v.,to defend or support,IMG_2032.JPG,1.0
chaotic,adj.,disorderly,IMG_2032.JPG,1.0
chastise,v.,to scold,IMG_2032.JPG,1.0
cherish,v.,to hold dear,IMG_2032.JPG,1.0
choleric,adj.,irritable,IMG_2032.JPG,1.0
circumvent,v.,to go around,IMG_2032.JPG,1.0
clamor,v.,to make commotion,IMG_2032.JPG,1.0
clandestine,adj.,secretive,IMG_2032.JPG,1.0
clemency,n.,mercy,IMG_2032.JPG,1.0
coarse,adj.,rough,IMG_2032.JPG,1.0
cohesive,adj.,sticking together,IMG_2032.JPG,1.0
collaborate,v.,to work together,IMG_2032.JPG,1.0
commence,v.,to begin,IMG_2032.JPG,1.0
commend,v.,to praise,IMG_2032.JPG,1.0
compassion,n.,sympathy,IMG_2032.JPG,1.0
compel,v.,"to obligate, force",IMG_2032.JPG,1.0
competent,adj.,able,IMG_2032.JPG,1.0
compilation,n.,collection,IMG_2032.JPG,1.0
compile,v.,to collect,IMG_2032.JPG,1.0
complacent,adj.,"at ease, happy",IMG_2032.JPG,1.0
compliant,adj.,inclined to obey rules,IMG_2032.JPG,1.0
comply,v.,"to accept, consent",IMG_2032.JPG,1.0
composure,n.,feeling of calm,IMG_2032.JPG,1.0
comprehensive,adj.,all-inclusive,IMG_2032.JPG,1.0
compromise,v.,to give and take,IMG_2032.JPG,1.0
conceal,v.,to hide,IMG_2032.JPG,1.0
concede,v.,admit,IMG_2032.JPG,1.0
conceited,adj.,overly proud,IMG_2032.JPG,1.0
concise,adj.,to the point,IMG_2032.JPG,1.0
conclude,v.,to end,IMG_2032.JPG,1.0
concord,n.,agreement,IMG_2032.JPG,1.0
concur,v.,to agree,IMG_2032.JPG,1.0
condescend,v.,to stoop or humble,IMG_2032.JPG,1.0
condescending,adj.,snobby,IMG_2032.JPG,1.0
condone,v.,to allow,IMG_2032.JPG,1.0
confiscate,v.,to take away,IMG_2032.JPG,1.0
conflagration,n.,a destructive fire,IMG_2032.JPG,1.0
congenial,adj.,"pleasing, friendly",IMG_2032.JPG,1.0
consequently,adv.,as a result,IMG_2032.JPG,1.0
conservative,adj.,cautious,IMG_2032.JPG,1.0
consolidate,v.,to combine,IMG_2032.JPG,1.0
conspicuous,adj.,obvious,IMG_2032.JPG,1.0
conspiracy,n.,scheme,IMG_2032.JPG,1.0
construct,v.,to build,IMG_2032.JPG,1.0
contagious,adj.,communicable,IMG_2032.JPG,1.0
contaminate,v.,to make impure,IMG_2032.JPG,1.0
contemporary,adj.,modern,IMG_2032.JPG,1.0
content,adj.,satisfied,IMG_2032.JPG,1.0
contort,v.,to twist or bend,IMG_2033.JPG,1.0
contradict,v.,to speak against,IMG_2033.JPG,1.0
contrite,adj.,sorry,IMG_2033.JPG,1.0
contrive,v.,to devise,IMG_2033.JPG,1.0
conundrum,n.,a riddle,IMG_2033.JPG,1.0
conventional,adj.,traditional,IMG_2033.JPG,1.0
corrupt,adj.,dishonest,IMG_2033.JPG,1.0
counterfeit,adj.,fake,IMG_2033.JPG,1.0
courteous,adj.,mannerly,IMG_2033.JPG,1.0
credible,adj.,believable,IMG_2033.JPG,1.0
critical,adj.,fault-finding,IMG_2033.JPG,1.0
crucial,adj.,necessary,IMG_2033.JPG,1.0
culprit,n.,one at fault,IMG_2033.JPG,1.0
culture,n.,"breeding, art",IMG_2033.JPG,1.0
cumulative,adj.,successive adding,IMG_2033.JPG,1.0
cunning,adj.,"sly, scheming",IMG_2033.JPG,1.0
cursory,adj.,hasty,IMG_2033.JPG,1.0
cynical,adj.,doubtful,IMG_2033.JPG,1.0
debilitating,adj.,weakening,IMG_2033.JPG,1.0
debunk,v.,to expose falseness,IMG_2033.JPG,1.0
decipher,v.,to figure out,IMG_2033.JPG,1.0
declare,v.,to announce,IMG_2033.JPG,1.0
decree,v.,to command,IMG_2033.JPG,1.0
defer,v.,to put off,IMG_2033.JPG,1.0
deficient,adj.,lacking,IMG_2033.JPG,1.0
defile,v.,"violate, corrupt",IMG_2033.JPG,1.0
delay,v.,"suspend, put off",IMG_2033.JPG,1.0
delegate,v.,to assign,IMG_2033.JPG,1.0
delicate,adj.,fragile,IMG_2033.JPG,1.0
delinquent,adj.,overdue,IMG_2033.JPG,1.0
deplete,v.,to consume or use up,IMG_2033.JPG,1.0
deplorable,adj.,shameful,IMG_2033.JPG,1.0
derelict,adj.,neglected,IMG_2033.JPG,1.0
desecrate,v.,to violate,IMG_2033.JPG,1.0
desist,v.,to stop,IMG_2033.JPG,1.0
despair,n.,loss of hope,IMG_2033.JPG,1.0
destitute,adj.,very poor,IMG_2033.JPG,1.0
deter,v.,to hinder,IMG_2033.JPG,1.0
detrimental,adj.,harmful,IMG_2033.JPG,1.0
deviate,v.,to stray from,IMG_2033.JPG,1.0
devious,adj.,"tricky, sneaky",IMG_2033.JPG,1.0
dexterity,n.,aptitude,IMG_2033.JPG,1.0
diction,n.,speech,IMG_2033.JPG,1.0
dilapidated,adj.,falling apart,IMG_2033.JPG,1.0
diligent,adj.,showing carefulness,IMG_2033.JPG,1.0
diminish,v.,to decrease,IMG_2033.JPG,1.0
disadvantage,n.,a hurt or loss,IMG_2033.JPG,1.0
disagreement,n.,"controversy, conflict",IMG_2033.JPG,1.0
discern,v.,to discover,IMG_2033.JPG,1.0
disclose,v.,to reveal,IMG_2033.JPG,1.0
discredit,v.,to cause disbelief,IMG_2033.JPG,1.0
discrete,adj.,separate or distinct,IMG_2033.JPG,1.0
discriminate,v.,to show prejudice,IMG_2033.JPG,1.0
disdain,n.,hate or indifference,IMG_2033.JPG,1.0
disheveled,adj.,messy,IMG_2033.JPG,1.0
dismal,adj.,dreary,IMG_2033.JPG,1.0
dismantle,v.,to take apart,IMG_2033.JPG,1.0
disparage,v.,to belittle,IMG_2033.JPG,1.0
dispute,v.,to argue,IMG_2033.JPG,1.0
disregard,v.,to ignore,IMG_2033.JPG,1.0
dissent,n.,lack of agreement,IMG_2033.JPG,1.0
distinct,adj.,separate,IMG_2033.JPG,1.0
distort,v.,to alter,IMG_2033.JPG,1.0
distraught,adj.,upset,IMG_2033.JPG,1.0
distribute,v.,"to separate, place",IMG_2033.JPG,1.0
diverse,adj.,different,IMG_2033.JPG,1.0
divulge,v.,to reveal,IMG_2033.JPG,1.0
docile,adj.,tame,IMG_2033.JPG,1.0
dominate,v.,"to overpower, defeat",IMG_2033.JPG,1.0
dormant,adj.,inactive,IMG_2033.JPG,1.0
dubious,adj.,doubtful,IMG_2033.JPG,1.0
durable,adj.,"sturdy, strong",IMG_2033.JPG,1.0
duress,n.,"threat, hardship",IMG_2033.JPG,1.0
eccentric,adj.,unusual,IMG_2033.JPG,1.0
ecstatic,adj.,very happy,IMG_2033.JPG,1.0
edible,adj.,meant to be eaten,IMG_2033.JPG,1.0
effusive,adj.,expressing pleasure,IMG_2033.JPG,1.0
elated,adj.,"excited, happy",IMG_2033.JPG,1.0
elegant,adj.,"classy, graceful",IMG_2033.JPG,1.0
elicit,v.,"to evoke, draw out",IMG_2033.JPG,1.0
elite,adj.,the best,IMG_2033.JPG,1.0
eloquent,adj.,skillful with words,IMG_2033.JPG,1.0
elude,v.,"to evade, escape",IMG_2034.JPG,1.0
elusive,adj.,hard to grab,IMG_2034.JPG,1.0
fluctuate,v.,to vary,IMG_2034.JPG,1.0
foresight,n.,"awareness, preparedness",IMG_2034.JPG,1.0
emancipate,v.,to free,IMG_2034.JPG,1.0
forfeit,v.,to give up,IMG_2034.JPG,1.0
embark,v.,to begin a journey,IMG_2034.JPG,1.0
embellish,v.,"to decorate, beautify",IMG_2034.JPG,1.0
formidable,adj.,awesome,IMG_2034.JPG,1.0
frantic,adj.,"distraught, worried",IMG_2034.JPG,1.0
enamored,adj.,infatuated,IMG_2034.JPG,1.0
frenetic,adj.,energetic,IMG_2034.JPG,1.0
encroach,v.,to trespass,IMG_2034.JPG,1.0
frivolous,adj.,trivial,IMG_2034.JPG,1.0
endanger,v.,to threaten,IMG_2034.JPG,1.0
endorse,v.,"to advocate, to support",IMG_2034.JPG,1.0
frugal,adj.,thrifty,IMG_2034.JPG,1.0
fugitive,n.,"someone escaping",IMG_2034.JPG,1.0
endure,v.,to get through,IMG_2034.JPG,1.0
fundamental,adj.,basic,IMG_2034.JPG,1.0
enhance,v.,to improve,IMG_2034.JPG,1.0
futile,adj.,ineffective,IMG_2034.JPG,1.0
enigma,n.,a puzzle,IMG_2034.JPG,1.0
ensure,v.,to guarantee,IMG_2034.JPG,1.0
garrulous,adj.,chatty,IMG_2034.JPG,1.0
enthrall,v.,to enchant,IMG_2034.JPG,1.0
gaunt,adj.,"thin, bleak",IMG_2034.JPG,1.0
enumerate,v.,to name individually,IMG_2034.JPG,1.0
generate,v.,to make,IMG_2034.JPG,1.0
envious,adj.,jealous,IMG_2034.JPG,1.0
epitome,n.,"perfect example",IMG_2034.JPG,1.0
generous,adj.,giving,IMG_2034.JPG,1.0
genial,adj.,"pleasant, gracious",IMG_2034.JPG,1.0
eradicate,v.,to eliminate,IMG_2034.JPG,1.0
gingerly,adv.,cautious,IMG_2034.JPG,1.0
erratic,adj.,unpredictable,IMG_2034.JPG,1.0
gist,n.,"direction, idea",IMG_2034.JPG,1.0
erroneous,adj.,incorrect,IMG_2034.JPG,1.0
grandiose,adj.,extravagant,IMG_2034.JPG,1.0
essential,adj.,necessary,IMG_2034.JPG,1.0
gratify,v.,to satisfy,IMG_2034.JPG,1.0
ethical,adj.,moral,IMG_2034.JPG,1.0
grave,adj.,serious,IMG_2034.JPG,1.0
eulogy,n.,"speech of praise",IMG_2034.JPG,1.0
gregarious,adj.,"friendly, social",IMG_2034.JPG,1.0
excerpt,n.,part of the whole,IMG_2034.JPG,1.0
grueling,adj.,exhausting,IMG_2034.JPG,1.0
exempt,adj.,not required to,IMG_2034.JPG,1.0
gullible,adj.,"easily deceived",IMG_2034.JPG,1.0
exhibit,v.,to display,IMG_2034.JPG,1.0
gusto,n.,"spunk, liveliness",IMG_2034.JPG,1.0
exonerate,v.,to free of blame,IMG_2034.JPG,1.0
exorbitant,adj.,excessive,IMG_2034.JPG,1.0
hamper,v.,"to hinder or slow",IMG_2034.JPG,1.0
expedient,adj.,advantageous,IMG_2034.JPG,1.0
hapless,adj.,unlucky,IMG_2034.JPG,1.0
expedite,v.,to speed up,IMG_2034.JPG,1.0
harbor,v.,to protect,IMG_2034.JPG,1.0
harmonious,adj.,agreeable,IMG_2034.JPG,1.0
fabricate,v.,"to dream up, to contrive",IMG_2034.JPG,1.0
hasten,v.,to speed up,IMG_2034.JPG,1.0
fallacy,n.,false belief,IMG_2034.JPG,1.0
haughty,adj.,arrogant,IMG_2034.JPG,1.0
feasible,adj.,possible,IMG_2034.JPG,1.0
hinder,v.,to get in the way of,IMG_2034.JPG,1.0
feeble,adj.,weak,IMG_2034.JPG,1.0
hindrance,n.,something in the way,IMG_2034.JPG,1.0
feign,v.,to pretend,IMG_2034.JPG,1.0
humane,adj.,"compassionate, kind",IMG_2034.JPG,1.0
festive,adj.,joyous,IMG_2034.JPG,1.0
humble,adj.,modest,IMG_2034.JPG,1.0
fiendish,adj.,devilish,IMG_2034.JPG,1.0
hybrid,n.,mixture,IMG_2034.JPG,1.0
flagrant,adj.,blatant,IMG_2034.JPG,1.0
hypothesis,n.,formulation,IMG_2034.JPG,1.0
flair,n.,ability,IMG_2034.JPG,1.0
flaunt,v.,to show off,IMG_2034.JPG,1.0
illiterate,adj.,unable to read,IMG_2034.JPG,1.0
illustrious,adj.,celebrated,IMG_2034.JPG,1.0
flexible,adj.,"easily changed",IMG_2034.JPG,1.0
florid,adj.,elaborate,IMG_2034.JPG,1.0
immaculate,adj.,"clean, spotless",IMG_2034.JPG,1.0
immensely,adv.,extremely,IMG_2035.JPG,1.0
inundate,v.,to overload,IMG_2035.JPG,1.0
imminent,adj.,about to happen,IMG_2035.JPG,1.0
invigorate,v.,to give energy to,IMG_2035.JPG,1.0
immune,adj.,unaffected,IMG_2035.JPG,1.0
invincible,adj.,can't be defeated,IMG_2035.JPG,1.0
impair,v.,to damage,IMG_2035.JPG,1.0
irate,adj.,angry,IMG_2035.JPG,1.0
impartial,adj.,unprejudiced,IMG_2035.JPG,1.0
irrational,adj.,nonsensical,IMG_2035.JPG,1.0
impeccable,adj.,flawless,IMG_2035.JPG,1.0
